238	127
54	32
488	276
184	90
355	206
229	118
133	71
199	102
595	358
552	331
23	16
100	55
167	84
411	233
466	259
326	194
107	57
608	368
383	220
536	316
286	163
650	395
178	89
301	175
50	31
66	35
18	11
580	347
359	208
190	93
507	292
619	378
545	325
48	29
585	350
506	291
615	374
331	199
215	114
395	226
109	58
365	211
272	153
22	15
623	382
561	337
198	101
144	73
564	340
157	76
529	311
118	62
129	67
421	241
330	198
252	139
634	389
240	129
547	327
540	320
493	280
485	273
414	236
598	361
445	249
380	218
342	202
291	168
313	184
246	135
21	14
583	348
264	145
90	49
306	178
42	24
500	285
253	140
235	124
203	104
242	131
310	181
629	385
412	234
534	314
523	307
273	154
38	23
633	388
601	364
193	96
592	355
282	159
546	326
283	160
88	47
604	367
15	8
195	98
557	335
72	37
83	43
482	270
327	195
12	5
642	391
36	21
503	288
322	193
230	119
544	324
308	180
435	244
285	162
586	351
440	246
420	240
149	74
556	334
114	61
408	230
514	299
216	115
618	377
200	103
338	201
620	379
214	113
271	152
318	189
569	342
510	295
477	266
188	91
568	341
208	107
176	87
300	174
158	77
370	214
384	221
77	39
126	64
194	97
19	12
81	41
95	52
530	312
517	302
407	229
86	45
469	260
415	237
611	370
527	309
317	188
130	68
535	315
249	136
222	116
562	338
263	144
621	380
197	100
515	300
386	222
44	25
501	286
231	120
166	83
622	381
520	305
525	308
645	392
454	254
305	177
614	373
378	217
548	328
417	239
233	122
261	143
495	281
480	269
351	205
281	158
82	42
37	22
600	363
87	46
413	235
516	301
13	6
2	36
368	213
312	183
191	94
94	51
599	362
537	317
511	296
476	265
292	169
243	132
294	171
625	384
631	386
334	200
28	18
617	376
603	366
236	125
549	329
85	44
46	27
484	272
284	161
319	190
513	298
192	95
532	313
35	20
210	109
409	231
430	243
270	151
267	148
571	343
502	287
159	78
509	294
584	349
205	106
487	275
279	157
127	65
329	197
346	203
470	261
251	138
163	81
250	137
113	60
541	321
499	284
170	86
441	247
612	371
347	204
504	289
288	165
578	346
24	17
3	2
315	186
165	82
211	110
266	147
555	333
563	339
404	228
543	323
479	268
576	345
131	69
213	112
539	319
296	172
320	191
390	224
316	187
388	223
496	282
471	262
160	79
232	121
367	212
587	352
575	344
237	126
416	238
447	251
610	369
453	253
492	279
303	176
362	209
594	357
376	216
459	256
613	372
223	117
293	170
59	33
122	63
14	7
161	80
45	26
399	227
559	336
196	99
138	72
307	179
624	383
475	264
455	255
512	297
596	359
311	182
209	108
489	277
189	92
410	232
17	10
391	225
551	330
258	142
356	207
472	263
647	394
290	167
89	48
597	360
244	133
505	290
234	123
268	149
519	304
93	50
363	210
651	396
464	258
299	173
646	393
104	56
128	66
34	19
508	293
99	54
602	365
486	274
521	306
132	70
542	322
588	353
289	166
616	375
177	88
49	30
256	141
239	128
452	252
47	28
528	310
498	283
152	75
80	40
245	134
278	156
518	303
321	192
446	250
110	59
374	215
490	278
269	150
483	271
241	130
277	155
632	387
96	53
439	245
478	267
590	354
382	219
538	318
20	13
204	105
462	257
168	85
9	3
314	185
636	390
554	332
442	248
212	111
16	9
265	146
593	356
76	38
10	4
64	34
287	164
328	196
425	242
